egt,n1a,n2a,nf,ff,mn,t2,tat,oat,alt,p2e,wai,nai,prv,hpv,xf,acnum,reportts,pos,Predict
802.4,78.0,87.79,78.0,2775.0,0.257,3.1,2.0,1.6,1418.0,14.755,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-24 10:53:22,2,45.51913454400999
854.0,82.66,90.35,82.71,3179.0,0.254,10.6,10.2,9.0,2005.0,14.471,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-25 15:23:23,2,44.55384554768353
852.8,86.03,89.72,86.22,3655.0,0.262,-8.6,-7.2,-9.9,1739.0,14.57,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-25 20:49:27,2,43.9679953075414
824.8,83.75,88.91,83.92,3308.0,0.25,-7.5,-6.2,-8.3,1672.0,14.511,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2018-12-26 11:42:26,2,46.40392545261429
786.5,78.15,87.84,78.17,2738.0,0.22,4.3,5.2,2.6,934.0,14.875,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2018-12-26 15:19:13,2,47.49993131440026
874.5,87.47,90.29,87.66,3702.0,0.303,-8.7,-5.0,-10.1,3331.0,13.902,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2018-12-26 20:07:26,2,46.69907485539452
750.8,82.55,85.39,82.73,3582.0,0.269,-36.1,-18.0,-36.8,2610.0,14.153,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-27 03:36:03,2,41.99991933093389
850.9,85.73,89.78,85.92,3593.0,0.279,-7.3,-6.2,-8.6,1942.0,14.532,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2018-12-27 12:12:42,2,46.05340030503165
791.6,78.25,87.97,78.26,2673.0,0.272,3.5,3.0,1.7,3404.0,13.749,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-27 15:45:47,2,46.0100222532412
870.7,87.39,90.34,87.58,3801.0,0.275,-8.0,-7.2,-9.6,2407.0,14.312,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2018-12-27 20:24:54,2,46.565608721779924
782.5,77.53,87.63,77.53,2704.0,0.288,2.8,8.2,1.0,3284.0,13.843,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-28 01:55:57,2,44.79948928385311
832.3,83.85,89.12,84.02,3301.0,0.288,-5.0,-4.5,-7.2,2428.0,14.27,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2018-12-28 20:02:32,2,46.473344269623944
799.4,78.96,88.25,78.98,2765.0,0.267,4.3,9.0,2.4,3213.0,13.901,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-29 01:10:58,2,46.088075472943075
802.8,81.45,87.82,81.56,3164.0,0.26,-8.0,-5.7,10.649999999999999,1463.0,14.77,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2018-12-29 11:32:42,2,46.55298183160246
857.3,83.74,90.37,83.85,3356.0,0.264,6.9,9.0,10.649999999999999,1077.0,15.016,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-29 14:42:27,2,45.98326646408805
853.2,86.49,89.67,86.67,3776.0,0.273,-10.5,-3.2,-12.0,2455.0,14.141,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-30 01:23:54,2,43.58938695406873
839.5,84.42,89.46,84.6,3441.0,0.264,-6.3,-2.7,-6.3,1281.0,14.787,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-30 07:12:25,2,46.1161254315899
865.9,82.63,90.25,82.69,3204.0,0.259,10.2,8.7,8.5,1859.0,14.599,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-30 10:38:54,2,43.108212070415824
866.1,85.0,90.81,85.15,3435.0,0.233,6.5,6.7,4.7,1797.0,14.569,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-30 17:35:32,2,43.32498574959096
863.1,86.04,90.38,86.24,3614.0,0.282,-2.2,-1.0,-3.6,1481.0,14.842,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2018-12-30 20:54:08,2,42.761146328181184
779.3,81.15,86.95,81.28,3187.0,0.266,-15.2,-11.2,-17.4,1964.0,14.446,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2018-12-31 01:07:41,2,43.827121822150716
847.5,84.77,89.59,84.95,3444.0,0.281,-4.4,-4.2,-6.3,1873.0,14.55,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-01 11:27:20,2,42.32753250569396
841.5,82.57,89.8,82.64,3264.0,0.272,5.8,6.5,4.1,1728.0,14.77,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-01 14:45:47,2,42.58450020506483
831.3,83.51,89.17,83.66,3306.0,0.267,-3.3,-2.0,-4.6,1474.0,14.742,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-02 09:45:54,2,42.938641557891195
843.5,84.29,89.6,84.46,3334.0,0.297,-3.1,-1.2,-4.5,2119.0,14.617,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-02 20:10:43,2,41.536290436782906
807.0,80.02,88.6,80.04,2845.0,0.272,3.7,4.2,1.8,2972.0,13.968,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-03 01:12:38,2,43.06267276509635
848.0,84.31,89.63,84.47,3392.0,0.278,-2.7,-1.7,-4.1,1536.0,14.687,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-03 11:30:21,2,42.151799146802546
794.1,78.92,88.09,78.92,2746.0,0.264,2.1,5.5,0.6,3144.0,13.863,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-04 01:04:53,2,42.565070488204704
901.0,88.76,91.2,88.96,4000.0,0.288,-3.6,-4.7,-5.1,2580.0,14.812,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-04 11:48:00,2,40.38054538262103
852.5,83.19,90.22,83.28,3113.0,0.271,7.6,12.5,5.8,3165.0,13.949,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-04 15:40:47,2,43.53473920353364
888.6,88.53,90.97,88.73,3953.0,0.282,-4.2,-3.0,-6.6,1811.0,14.638,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-04 20:04:15,2,40.772972855864815
820.1,81.22,88.98,81.28,2953.0,0.309,3.0,5.0,1.2,2804.0,14.192,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-05 01:06:24,2,43.59996008794733
816.8,81.71,88.35,81.81,3144.0,0.261,-5.2,-6.2,-6.6,2436.0,14.235,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-05 11:31:54,2,41.44210932141547
882.3,87.12,91.17,87.32,3492.0,0.288,2.8,1.7,1.2,3265.0,13.942,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-05 16:07:26,2,42.997765474013946
798.6,80.62,87.75,80.7,3063.0,0.264,-6.9,-6.0,-8.3,1790.0,14.585,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-05 20:32:11,2,41.75022474782429
789.2,79.38,86.95,79.43,3109.0,0.272,-10.0,-9.5,-11.6,1624.0,14.843,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-06 02:02:15,2,42.07124316171575
828.0,83.75,88.92,83.92,3335.0,0.233,-6.8,-8.0,-8.2,2155.0,14.267,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-06 09:53:57,2,42.96177539656469
885.0,87.4,91.19,87.6,3463.0,0.263,1.7,0.5,-0.1,4245.0,13.323,0.0,1.0,0.0,0.0,1.0,VQ-BGU,2019-01-06 14:28:50,2,42.87209197871575
831.7,84.02,88.83,84.21,3404.0,0.264,-9.5,-9.7,-10.4,2039.0,14.558,0.0,1.0,0.0,0.0,1.0,VQ-BGU,2019-01-06 20:03:55,2,42.30909383560276
850.5,84.6,90.06,84.75,3236.0,0.272,1.4,6.0,0.0,3049.0,13.939,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-01-07 01:18:12,2,40.95201518749505
807.6,82.07,87.9,82.2,3228.0,0.262,-10.9,-12.2,-12.5,2035.0,14.445,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-07 11:10:09,2,41.977909851972996
874.2,85.52,90.9,85.67,3466.0,0.268,5.4,6.7,3.7,1813.0,14.61,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-07 14:31:17,2,39.37818309028907
820.5,82.95,88.17,83.1,3288.0,0.281,-12.0,-12.2,-13.0,2174.0,14.461,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-07 19:14:37,2,41.505821110225575
865.1,87.24,89.97,87.43,3693.0,0.286,-10.3,1.5,-11.9,3400.0,13.713,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-08 01:56:00,2,41.099854562157596
805.1,81.16,87.78,81.26,3145.0,0.289,-8.6,-8.0,-10.3,1964.0,14.521,0.0,1.0,1.0,0.0,0.0,VQ-BGU,2019-01-08 11:26:35,2,40.92112517156173
873.4,85.28,90.9,85.43,3406.0,0.264,6.9,8.0,5.3,1986.0,14.483,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-01-08 14:52:43,2,40.66067254782536
832.5,83.64,88.63,83.82,3341.0,0.273,-9.8,-4.5,-11.1,2487.0,14.222,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-08 19:13:23,2,39.747024436375625
836.5,85.72,88.5,85.91,3726.0,0.278,-18.5,1.0,-20.1,3295.0,13.882,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-09 02:08:49,2,39.96124212100317
808.2,82.35,88.07,82.49,3249.0,0.245,-10.4,-5.0,-11.7,2243.0,14.231,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-09 09:37:14,2,39.898771659234136
891.0,86.8,91.4,87.0,3238.0,0.289,5.4,4.7,3.5,4848.0,13.038,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-09 13:25:46,2,39.421836481297625
772.5,79.37,86.41,79.44,3094.0,0.298,-14.9,-1.2,-16.2,2327.0,14.457,0.0,0.0,1.0,0.0,0.0,VQ-BGU,2019-01-09 19:05:12,2,39.98540320982547
844.0,86.82,88.78,87.01,3754.0,0.273,-19.0,-2.2,-20.2,3306.0,13.784,0.0,0.0,0.0,0.0,0.0,VQ-BGU,2019-01-10 01:47:58,2,39.21567938856266
792.5,80.36,87.51,80.43,3045.0,0.263,-7.6,-6.2,-8.9,1678.0,14.688,0.0,1.0,0.0,0.0,0.0,VQ-BGU,2019-01-10 10:26:05,2,40.093810877844824
